"iteration","revenue","time taken (milliseconds)"
"1","4156.04","7952.0"
"2","4136.49","7909.0"
"3","4177.54","7900.0"
"4","4159.15","7919.0"
"5","4197.36","7807.0"
"6","4196.89","7862.0"
"7","4236.78","7915.0"
"8","4220.85","7951.0"
"9","4197.53","7814.0"
"10","4044.86","7884.0"
"11","4211.81","8039.0"
"12","4183.39","8173.0"
"13","4205.06","8043.0"
"14","4181.1","7893.0"
"15","4113.34","7889.0"
"16","4185.98","7760.0"
"17","4254.14","7592.0"
"18","4216.07","7625.0"
"19","4232.5","7825.0"
"20","4213.18","7849.0"
"21","4239.35","7764.0"
"22","4240.88","7789.0"
"23","4169.71","7756.0"
"24","4085.49","7797.0"
"25","4132.65","7641.0"
"26","4178.07","7827.0"
"27","4056.64","7774.0"
"28","4144.36","7661.0"
"29","4135.44","7862.0"
"30","4142.68","7716.0"
"31","4220.1","7673.0"
"32","3987.54","7877.0"
"33","4151.15","8189.0"
"34","4264.11","7910.0"
"35","4212.64","7718.0"
"36","4178.83","7724.0"
"37","4231.91","7573.0"
"38","4124.4","7777.0"
"39","4237.6","7645.0"
"40","4235.25","7696.0"
"41","4242.98","7765.0"
"42","4120.01","7832.0"
"43","4212.36","7715.0"
"44","4153.23","7771.0"
"45","4121.03","7825.0"
"46","4280.92","7720.0"
"47","4139.38","7903.0"
"48","4171.5","7816.0"
"49","4099.85","7850.0"
"50","4164.1","8006.0"
"51","4242.47","7940.0"
"52","4120.2","7980.0"
"53","4207.95","7892.0"
"54","4143.55","7778.0"
"55","4113.81","7898.0"
"56","4107.76","7964.0"
"57","4184.89","7793.0"
"58","4126.0","7728.0"
"59","4238.62","7777.0"
"60","4148.78","7709.0"
"61","4202.01","7651.0"
"62","4040.38","7963.0"
"63","4210.02","7854.0"
"64","4110.63","7838.0"
"65","4223.63","7686.0"
"66","4190.48","7634.0"
"67","4224.0","7746.0"
"68","4192.89","7797.0"
"69","4117.04","7803.0"
"70","4091.48","7797.0"
"71","4086.42","7818.0"
"72","4224.8","7697.0"
"73","4219.36","7815.0"
"74","4133.22","7971.0"
"75","4201.9","7620.0"
"76","4091.71","7742.0"
"77","4046.14","7900.0"
"78","4180.63","7875.0"
"79","4177.08","7887.0"
"80","4282.34","7827.0"
"81","4158.19","7720.0"
"82","4113.94","7694.0"
"83","4124.42","7919.0"
"84","4237.44","7963.0"
"85","4191.04","7629.0"
"86","4180.37","7916.0"
"87","4198.85","7756.0"
"88","4174.67","7736.0"
"89","4208.96","7934.0"
"90","4117.41","7837.0"
"91","4172.95","7852.0"
"92","4172.53","7986.0"
"93","4216.77","7817.0"
"94","4225.59","7848.0"
"95","4258.11","7847.0"
"96","4154.52","7764.0"
"97","4180.88","7672.0"
"98","4176.63","7865.0"
"99","4081.93","7809.0"
"100","4288.2","7674.0"
